Index,Sector,SubSector,Symbol,Name,Price,Change,Volume
23,Consumer Discretionary,Automotive Retail,AAP,Advance Auto Parts,148.44,0.33,972161
24,Consumer Discretionary,Broadcasting & Cable TV,CBS,CBS Corp.,51.08,-0.71,3319275
25,Consumer Discretionary,Broadcasting & Cable TV,CMCSA,Comcast A Corp,65.85,-0.07,6794346
26,Consumer Discretionary,Broadcasting & Cable TV,DIS,The Walt Disney Company,62.99,0.18,2501460
27,Consumer Discretionary,Broadcasting & Cable TV,DISCA,Discovery Communications-A,24.55,0.2,2265488
28,Consumer Discretionary,Broadcasting & Cable TV,DISCK,Discovery Communications-C,23.74,0.13,918222
29,Consumer Discretionary,Broadcasting & Cable TV,SNI,Scripps Networks Interactive Inc.,60.11,0.23,943962
30,Consumer Discretionary,Broadcasting & Cable TV,TWX,Time Warner Inc.,75.71,0.86,4303314
31,Consumer Discretionary,Broadcasting & Cable TV,VIAB,Viacom Inc.,82.51,0.44,8361653
32,Consumer Discretionary,Cable & Satellite,CHTR,Charter Communications,262.93,-3.01,2133111
33,Consumer Discretionary,Casinos & Gaming,WYNN,Wynn Resorts Ltd,41.68,0.48,3765999
34,Consumer Discretionary,Computer & Electronics Retail,BBY,Best Buy Co. Inc.,38.14,0.14,5647395
35,Consumer Discretionary,Consumer Electronics,GRMN,Garmin Ltd.,47.75,0.52,1430812
36,Consumer Discretionary,Consumer Electronics,HAR,Harman Int'l Industries,81.81,0.25,569139
37,Consumer Discretionary,Department Stores,JWN,Nordstrom,50.63,-0.65,2533088
38,Consumer Discretionary,Department Stores,M,Macy's Inc.,35.22,-0.32,4416236
39,Consumer Discretionary,Distributors,LKQ,LKQ Corporation,35.62,0.16,1741561
40,Consumer Discretionary,General Merchandise Stores,DG,Dollar General,71.83,-0.08,4096195
41,Consumer Discretionary,General Merchandise Stores,DLTR,Dollar Tree,80.22,-0.88,2259115
42,Consumer Discretionary,General Merchandise Stores,KSS,Kohl's Corp.,43.7,0.73,3564470
43,Consumer Discretionary,General Merchandise Stores,TGT,Target Corp.,68.89,-0.34,4504553
44,Consumer Discretionary,Home Furnishings,MHK,Mohawk Industries,206.37,0.95,472991
45,Consumer Discretionary,Home Improvement Retail,HD,Home Depot,126.29,0.18,4525406
46,Consumer Discretionary,Home Improvement Retail,LOW,Lowe's Cos.,71.31,0.36,5222571
47,Consumer Discretionary,Homebuilding,DHI,D. R. Horton,30.46,0.49,3385532
48,Consumer Discretionary,Homebuilding,LEN,Lennar Corp.,45.09,0.75,3665993
49,Consumer Discretionary,Homebuilding,PHM,Pulte Homes Inc.,19.87,0.3,4407995
50,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",CCL,Carnival Corp.,45.9,-0.35,4709323
51,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",EXPE,Expedia Inc.,106.12,-1.71,4241923
52,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",HOT,Starwood Hotels & Resorts,75.09,-0.36,978854
53,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",MAR,Marriott Int'l.,68.34,-0.35,1795108
54,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",PCLN,Priceline.com Inc,1448.06,-11.99,503035
55,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",RCL,Royal Caribbean Cruises Ltd,65.48,-0.84,2293824
56,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WYN,Wyndham Worldwide,103.96,-4.61,4273689
57,Consumer Discretionary,Household Appliances,SNA,Snap-On Inc.,149.36,1.37,470871
58,Consumer Discretionary,Household Appliances,SWK,Stanley Black & Decker,121.26,1.14,1196696
59,Consumer Discretionary,Household Appliances,WHR,Whirlpool Corp.,28.58,0.19,4790505
60,Consumer Discretionary,Housewares & Specialties,NWL,Newell Rubbermaid Co.,51.14,0.15,3556089
61,Consumer Discretionary,Internet Retail,AMZN,Amazon.com Inc,775.1,-3.42,2297221
62,Consumer Discretionary,Internet Retail,TRIP,TripAdvisor,60,-1.29,1918491
63,Consumer Discretionary,Leisure Products,HAS,Hasbro Inc.,77.33,0.06,736125
64,Consumer Discretionary,Leisure Products,MAT,Mattel Inc.,31.74,0.5,3301217
65,Consumer Discretionary,Motorcycle Manufacturers,HOG,Harley-Davidson,52.01,0.31,1495192
66,Consumer Discretionary,Publishing,FOX,Twenty-First Century Fox Class B,24.29,0.01,2653916
67,Consumer Discretionary,Publishing,FOXA,Twenty-First Century Fox Class A,23.93,0.03,13480128
68,Consumer Discretionary,Publishing,NWS,News Corp. Class B,14,0,1563040
69,Consumer Discretionary,Publishing,NWSA,News Corp. Class A,13.62,-0.02,2316198
70,Consumer Discretionary,Publishing,TGNA,Tegna,21.35,-0.06,1475933
71,Consumer Discretionary,Restaurants,CMG,Chipotle Mexican Grill,402.76,-6.56,1139757
72,Consumer Discretionary,Restaurants,DRI,Darden Restaurants,61.39,-0.56,721507
73,Consumer Discretionary,Restaurants,MCD,McDonald's Corp.,115.21,-0.07,3741507
74,Consumer Discretionary,Restaurants,SBUX,Starbucks Corp.,53.01,-0.73,9231628
75,Consumer Discretionary,Restaurants,YUM,Yum! Brands Inc,88.39,0.35,2048651
76,Consumer Discretionary,Specialty Retail,TSCO,Tractor Supply Company,67.54,-0.61,1649744
77,Consumer Discretionary,Specialty Stores,AN,AutoNation Inc,48.38,-0.46,797548
78,Consumer Discretionary,Specialty Stores,AZO,AutoZone Inc,746.35,10.83,382199
79,Consumer Discretionary,Specialty Stores,BBBY,Bed Bath & Beyond,43.34,0.14,2067412
80,Consumer Discretionary,Specialty Stores,GPC,Genuine Parts,98.62,1.47,604601
81,Consumer Discretionary,Specialty Stores,KMX,Carmax Inc,56.58,0.08,4379121
82,Consumer Discretionary,Specialty Stores,ORLY,O'Reilly Automotive,275.46,2.78,654916
83,Consumer Discretionary,Specialty Stores,SIG,Signet Jewelers,77.2,-0.57,1572152
84,Consumer Discretionary,Specialty Stores,SPLS,Staples Inc.,8.55,-0.09,3919309
85,Consumer Discretionary,Specialty Stores,ULTA,Ulta Salon Cosmetics & Fragrance Inc,234.55,0.76,690963
86,Consumer Discretionary,Tires & Rubber,GT,Goodyear Tire & Rubber,32.22,-0.2,3999463
87,Consumer Staples,Agricultural Products,ADM,Archer-Daniels-Midland Co,42.18,0.15,1606759
88,Consumer Staples,Brewers,TAP,Molson Coors Brewing Company,102.58,-0.22,1132214
89,Consumer Staples,Distillers & Vintners,BF-B,Brown-Forman Corporation,46.41,0.3,1714560
90,Consumer Staples,Distillers & Vintners,STZ,Constellation Brands,162.68,-1.93,1320872
91,Consumer Staples,Drug Retail,CVS,CVS Health,89.17,-0.95,7479953
92,Consumer Staples,Drug Retail,WBA,Walgreens Boots Alliance,92.63,0.07,5421473
93,Consumer Staples,Food Distributors,SYY,Sysco Corp.,49.25,-0.13,2638101
94,Consumer Staples,Food Retail,KR,Kroger Co.,30.79,-0.29,10627974
95,Consumer Staples,Food Retail,WFM,Whole Foods Market,30,0.24,5223430
96,Consumer Staples,Household Products,CHD,Church & Dwight,46.94,0.14,1062561
97,Consumer Staples,Household Products,CL,Colgate-Palmolive,72.19,0.23,2272044
98,Consumer Staples,Household Products,CLX,The Clorox Company,122.67,-0.06,734898
99,Consumer Staples,Household Products,KMB,Kimberly-Clark,122.17,0.36,1025535
100,Consumer Staples,Hypermarkets & Super Centers,COST,Costco Co.,151.79,-0.56,1321281
101,Consumer Staples,Hypermarkets & Super Centers,WMT,Wal-Mart Stores,80.81,-0.68,3753512
102,Consumer Staples,Packaged Foods & Meats,CAG,ConAgra Foods Inc.,43.2,-0.05,2978403
103,Consumer Staples,Packaged Foods & Meats,CPB,Campbell Soup,55.31,-0.07,1701956
104,Consumer Staples,Packaged Foods & Meats,GIS,General Mills,65.21,0.02,2546019
105,Consumer Staples,Packaged Foods & Meats,HRL,Hormel Foods Corp.,36.58,0.21,2191482
106,Consumer Staples,Packaged Foods & Meats,HSY,The Hershey Company,95.45,-0.03,1282636
107,Consumer Staples,Packaged Foods & Meats,K,Kellogg Co.,78.17,0.15,1142094
108,Consumer Staples,Packaged Foods & Meats,KHC,Kraft Heinz Co,86.97,-1.97,4032444
109,Consumer Staples,Packaged Foods & Meats,MDLZ,Mondelez International,42.87,-0.04,13094722
110,Consumer Staples,Packaged Foods & Meats,MJN,Mead Johnson,77.35,0.6,1439177
111,Consumer Staples,Packaged Foods & Meats,MKC,McCormick & Co.,96.38,0.52,612472
112,Consumer Staples,Packaged Foods & Meats,SJM,Smucker (J.M.),137.03,0,756989
113,Consumer Staples,Packaged Foods & Meats,TSN,Tyson Foods,74.23,0.98,2876806
114,Consumer Staples,Personal Products,EL,Estee Lauder Cos.,87.38,-0.34,1236786
115,Consumer Staples,Personal Products,PG,Procter & Gamble,88.37,0.32,19173907
116,Consumer Staples,Soft Drinks,DPS,Dr Pepper Snapple Group,90.77,0.02,887378
117,Consumer Staples,Soft Drinks,KO,The Coca Cola Company,42.1,-0.04,7659863
118,Consumer Staples,Soft Drinks,MNST,Monster Beverage,147.44,1.13,966041
119,Consumer Staples,Soft Drinks,PEP,PepsiCo Inc.,105.67,0.39,3439311
120,Consumer Staples,Tobacco,MO,Altria Group Inc,62.72,-0.08,3543051
121,Consumer Staples,Tobacco,PM,Philip Morris International,98.82,-0.02,2530206
122,Consumer Staples,Tobacco,RAI,Reynolds American Inc.,47.38,0.07,3908190
123,Energy,Integrated Oil & Gas,CHK,Chesapeake Energy,6.81,-0.54,115971630
124,Energy,Integrated Oil & Gas,CVX,Chevron Corp.,98.04,0.2,6182037
125,Energy,Integrated Oil & Gas,HES,Hess Corporation,45.96,-0.52,3652593
126,Energy,Integrated Oil & Gas,MUR,Murphy Oil,25.65,-0.54,1842760
127,Energy,Integrated Oil & Gas,XOM,Exxon Mobil Corp.,83.83,-0.2,7929097
128,Energy,Oil & Gas Drilling,DO,Diamond Offshore Drilling,14.94,-0.38,2948943
129,Energy,Oil & Gas Drilling,HP,Helmerich & Payne,57.32,-0.29,1351357
130,Energy,Oil & Gas Drilling,RIG,Transocean,8.96,-0.2,12955481
131,Energy,Oil & Gas Equipment & Services,BHI,Baker Hughes Inc,48.5,0.1,2266847
132,Energy,Oil & Gas Equipment & Services,FTI,FMC Technologies Inc.,27.51,0,2619885
133,Energy,Oil & Gas Equipment & Services,HAL,Halliburton Co.,41.28,0.24,6836504
134,Energy,Oil & Gas Equipment & Services,NOV,National Oilwell Varco Inc.,32.36,-0.5,2071932
135,Energy,Oil & Gas Equipment & Services,SLB,Schlumberger Ltd.,75.96,-0.37,5924961
136,Energy,Oil & Gas Exploration & Production,APA,Apache Corporation,57.85,-0.71,3261981
137,Energy,Oil & Gas Exploration & Production,APC,Anadarko Petroleum Corp,57.52,0,4816145
138,Energy,Oil & Gas Exploration & Production,COG,Cabot Oil & Gas,24.35,0.05,3497116
139,Energy,Oil & Gas Exploration & Production,COP,ConocoPhillips,39.28,-0.59,5424235
140,Energy,Oil & Gas Exploration & Production,CXO,Concho Resources,124.02,-1.37,1493512
141,Energy,Oil & Gas Exploration & Production,DVN,Devon Energy Corp.,40.85,-0.14,3869178
142,Energy,Oil & Gas Exploration & Production,EOG,EOG Resources,90.05,-0.92,3739977
143,Energy,Oil & Gas Exploration & Production,EQT,EQT Corporation,71.23,0.72,1076441
144,Energy,Oil & Gas Exploration & Production,MRO,Marathon Oil Corp.,14.09,-0.15,12868796
145,Energy,Oil & Gas Exploration & Production,NBL,Noble Energy Inc,33.54,-0.26,2934205
146,Energy,Oil & Gas Exploration & Production,NFX,Newfield Exploration Co,41.97,0.13,3306951
147,Energy,Oil & Gas Exploration & Production,OKE,ONEOK,47.39,1.31,1883263
148,Energy,Oil & Gas Exploration & Production,OXY,Occidental Petroleum,70.82,-0.21,4220492
149,Energy,Oil & Gas Exploration & Production,PXD,Pioneer Natural Resources,176.5,-0.62,1378423
150,Energy,Oil & Gas Exploration & Production,RRC,Range Resources Corp.,37.15,-0.23,5598692
151,Energy,Oil & Gas Exploration & Production,SWN,Southwestern Energy,13.86,0.18,11671202
152,Energy,Oil & Gas Exploration & Production,WMB,Williams Cos.,124.68,0.73,310746
153,Energy,Oil & Gas Exploration & Production,XEC,Cimarex Energy,126.99,-0.45,784698
154,Energy,Oil & Gas Refining & Marketing & Transportation,KMI,Kinder Morgan,21.9,0.43,17056262
155,Energy,Oil & Gas Refining & Marketing & Transportation,MPC,Marathon Petroleum,43.73,0.11,6621347
156,Energy,Oil & Gas Refining & Marketing & Transportation,PSX,Phillips 66,80.35,1.26,3205516
157,Energy,Oil & Gas Refining & Marketing & Transportation,SE,Spectra Energy Corp.,42.31,-0.15,4341806
158,Energy,Oil & Gas Refining & Marketing & Transportation,TSO,Tesoro Petroleum Co.,83.54,1.56,2733628
159,Energy,Oil & Gas Refining & Marketing & Transportation,VLO,Valero Energy,96.05,0.18,470374
160,Financials,Asset Management & Custody Banks,AMG,Affiliated Managers Group Inc,145.19,0.64,535453
161,Financials,Asset Management & Custody Banks,BEN,Franklin Resources,35.23,0.13,2308926
162,Financials,Asset Management & Custody Banks,BLK,BlackRock,367.96,1.99,547788
163,Financials,Asset Management & Custody Banks,IVZ,Invesco Ltd.,30.3,0.12,2918131
164,Financials,Asset Management & Custody Banks,LM,Legg Mason,33.81,0.13,763023
165,Financials,Asset Management & Custody Banks,NTRS,Northern Trust Corp.,68.51,0.15,871930
166,Financials,Banks,BAC,Bank of America Corp,15.59,0.1,66186415
167,Financials,Banks,BBT,BB&T Corporation,38.08,0.24,3184778
168,Financials,Banks,BK,The Bank of New York Mellon Corp.,40.09,0.03,5218435
169,Financials,Banks,C,Citigroup Inc.,46.59,0.18,12759685
170,Financials,Banks,CFG,Citizens Financial Group,24.19,0.09,4027867
171,Financials,Banks,CMA,Comerica Inc.,46.35,0.01,914916
172,Financials,Banks,FITB,Fifth Third Bancorp,20.63,0.17,6840226
173,Financials,Banks,HBAN,Huntington Bancshares,9.72,-0.01,10542562
174,Financials,Banks,JPM,JPMorgan Chase & Co.,66.19,0.37,13466874
175,Financials,Banks,KEY,KeyCorp,12.26,0,9640304
176,Financials,Banks,MTB,M&T Bank Corp.,115.03,0.22,508496
177,Financials,Banks,PNC,PNC Financial Services,90.11,0.72,1922674
178,Financials,Banks,STI,SunTrust Banks,43.86,0.15,2433497
179,Financials,Banks,USB,U.S. Bancorp,42.86,0.26,5492619
180,Financials,Banks,WFC,Wells Fargo,73.25,0.06,2751049
181,Financials,Banks,ZION,Zions Bancorp,29.9,0,2367506
182,Financials,Consumer Finance,AXP,American Express Co,64.06,0.4,3388582
183,Financials,Consumer Finance,COF,Capital One Financial,70.98,0.77,3156013
184,Financials,Consumer Finance,DFS,Discover Financial Services,57.25,0.16,1885302
185,Financials,Consumer Finance,HRB,Block H&R,22.36,-0.05,1924872
186,Financials,Consumer Finance,NAVI,Navient,13.77,0.19,3272534
187,Financials,Consumer Finance,SYF,Synchrony Financial,27.04,0.13,5030890
188,Financials,Diversified Financial Services,AMP,Ameriprise Financial,99.96,0.65,699060
189,Financials,Diversified Financial Services,CME,CME Group Inc.,109.76,0.11,1157418
190,Financials,Diversified Financial Services,EFX,Equifax Inc.,131.55,-0.66,414778
191,Financials,Diversified Financial Services,ICE,Intercontinental Exchange,282.25,0.75,360592
192,Financials,Diversified Financial Services,MCO,Moody's Corp,108.48,0,570540
193,Financials,Diversified Financial Services,NDAQ,NASDAQ OMX Group,69.8,0.33,808013
194,Financials,Diversified Financial Services,PFG,Principal Financial Group,48.82,0.45,1362423
195,Financials,Diversified Financial Services,PLD,Prologis,52.42,0.95,2352058
196,Financials,Diversified Financial Services,PRU,Prudential Financial,79.84,0.42,1761139
197,Financials,Diversified Financial Services,RF,Regions Financial Corp.,9.66,0.1,13215176
198,Financials,Diversified Financial Services,SPGI,"S&P Global, Inc.",124.68,1.41,950722
199,Financials,Diversified Financial Services,STT,State Street Corp.,69.02,-0.27,3440233
200,Financials,Diversified Financial Services,TROW,T. Rowe Price Group,66.64,-0.38,1470336
201,Financials,Diversified Financial Services,UNM,Unum Group,35.88,-0.01,1989130
202,Financials,Diversified Financial Services,VTR,Ventas Inc,77.2,0.32,1156513
203,Financials,Insurance Brokers,AJG,Arthur J. Gallagher & Co.,49.9,0.25,1096200
204,Financials,Insurance Brokers,AON,Aon plc,109.98,0.58,594266
205,Financials,Insurance Brokers,MMC,Marsh & McLennan,66.27,0.36,1203661
206,Financials,Insurance Brokers,WLTW,Willis Towers Watson,61.47,0.68,1447035
207,Financials,Investment Banking & Brokerage,ETFC,E*Trade,28.49,0.36,3142767
208,Financials,Investment Banking & Brokerage,GS,Goldman Sachs Group,166.21,0.21,2030742
209,Financials,Investment Banking & Brokerage,MS,Morgan Stanley,31.6,0.01,7806455
210,Financials,Investment Banking & Brokerage,SCHW,Charles Schwab Corporation,30.89,0.36,6921699
211,Financials,Life & Health Insurance,AFL,AFLAC Inc,72.02,0.68,2000808
212,Financials,Life & Health Insurance,MET,MetLife Inc.,43.95,0.12,4214969
213,Financials,Life & Health Insurance,TMK,Torchmark Corp.,64.07,0.23,490929
214,Financials,Multi-line Insurance,AIZ,Assurant Inc,89.62,1.76,677856
215,Financials,Multi-line Insurance,LNC,Lincoln National,46.49,0.23,1418639
216,Financials,Multi-Sector Holdings,BRK-B,Berkshire Hathaway,145.24,0.23,3031827
217,Financials,Multi-Sector Holdings,L,Loews Corp.,40.37,0.2,874012
218,Financials,Multi-Sector Holdings,LUK,Leucadia National Corp.,18.96,-0.01,940756
219,Financials,Office REITs,SLG,SL Green Realty,110.37,0.46,771255
220,Financials,Property & Casualty Insurance,AIG,"American International Group, Inc.",57.84,-0.06,6684717
221,Financials,Property & Casualty Insurance,ALL,Allstate Corp,67.46,0.05,1139502
222,Financials,Property & Casualty Insurance,CB,Chubb Limited,125.29,0.58,917651
223,Financials,Property & Casualty Insurance,CINF,Cincinnati Financial,74.76,0.03,563782
224,Financials,Property & Casualty Insurance,HIG,Hartford Financial Svc.Gp.,42.04,0.24,3699449
225,Financials,Property & Casualty Insurance,PGR,Progressive Corp.,31.1,-0.03,2867894
226,Financials,Property & Casualty Insurance,TRV,The Travelers Companies Inc.,115.09,0.42,1227540
227,Financials,Property & Casualty Insurance,XL,XL Capital,50.53,0.57,707519
228,Financials,Real Estate Services,CBG,CBRE Group,28.7,0.45,2493957
229,Financials,REITs,AIV,Apartment Investment & Mgmt,44.17,0.39,1782984
230,Financials,REITs,BXP,Boston Properties,135.24,0.54,514189
231,Financials,REITs,CCI,Crown Castle International Corp.,91.8,1.43,2511319
232,Financials,REITs,EQR,Equity Residential,65.13,0.71,1970222
233,Financials,REITs,GGP,General Growth Properties Inc.,28.34,0.18,2463377
234,Financials,REITs,HCN,Welltower Inc.,54.63,-0.31,4743886
235,Financials,REITs,HCP,HCP Inc.,37.44,0.28,2643731
236,Financials,REITs,HST,Host Hotels & Resorts,16.02,0.02,8139638
237,Financials,REITs,KIM,Kimco Realty,28.91,0.27,1697097
238,Financials,REITs,O,Realty Income Corporation,65.22,0.75,1366777
239,Financials,REITs,PSA,Public Storage,216.07,1.11,1036556
240,Financials,REITs,SPG,Simon Property Group Inc,209.59,0.86,960077
241,Financials,REITs,VNO,Vornado Realty Trust,107.55,-0.79,1089809
242,Financials,REITs,WY,Weyerhaeuser Corp.,161.83,-0.92,949132
243,Financials,Residential REITs,AVB,"AvalonBay Communities, Inc.",175.41,2.08,439238
244,Financials,Residential REITs,ESS,Essex Property Trust Inc,225.03,3.06,186468
245,Financials,Residential REITs,UDR,UDR Inc,35.25,0.56,995873
246,Financials,Retail REITs,FRT,Federal Realty Investment Trust,156.14,1.04,214132
247,Financials,Retail REITs,MAC,Macerich,81.02,0.72,595118
248,Financials,Specialized REITs,AMT,American Tower Corp A,109.2,1.2,1509790
249,Financials,Specialized REITs,DLR,Digital Realty Trust,93.72,1.12,2042502
250,Financials,Specialized REITs,EXR,Extra Space Storage,77.56,0.36,1099542
251,Financials,Thrifts & Mortgage Finance,PBCT,People's United Financial,15.71,0,2362818
252,Health Care,Biotechnology,ALXN,Alexion Pharmaceuticals,131.18,-0.28,1240251
253,Health Care,Biotechnology,AMGN,Amgen Inc,171.38,-1.58,2226821
254,Health Care,Biotechnology,BIIB,BIOGEN IDEC Inc.,303.5,-1.01,1108344
255,Health Care,Biotechnology,CELG,Celgene Corp.,107.73,-0.81,2705194
256,Health Care,Biotechnology,GILD,Gilead Sciences,78.99,0.19,7234173
257,Health Care,Biotechnology,REGN,Regeneron,402.83,-5.8,581014
258,Health Care,Biotechnology,VRTX,Vertex Pharmaceuticals Inc,36.77,-0.23,4978707
259,Health Care,Health Care Distribution & Services,ABC,AmerisourceBergen Corp,83.26,-0.85,2335948
260,Health Care,Health Care Distributors & Services,BMY,Bristol-Myers Squibb,55.08,-0.52,10517424
261,Health Care,Health Care Distributors & Services,CAH,Cardinal Health Inc.,76.57,-0.43,3089146
262,Health Care,Health Care Distributors & Services,CERN,Cerner,61.48,-0.54,1357236
263,Health Care,Health Care Distributors & Services,ESRX,Express Scripts,69.66,-0.55,3152988
264,Health Care,Health Care Distributors & Services,HSIC,Henry Schein,162.48,-1.62,409487
265,Health Care,Health Care Distributors & Services,MCK,McKesson Corp.,165,-1.16,2406753
266,Health Care,Health Care Distributors & Services,WAT,Waters Corporation,46.01,0.58,33562406
267,Health Care,Health Care Equipment,HOLX,Hologic,37.91,0.32,2846608
268,Health Care,Health Care Equipment & Services,A,Agilent Technologies Inc,44.95,0.16,1927900
269,Health Care,Health Care Equipment & Services,ABT,Abbott Laboratories,41.68,-0.19,7552674
270,Health Care,Health Care Equipment & Services,BAX,Baxter International Inc.,47.25,-0.03,3026224
271,Health Care,Health Care Equipment & Services,BCR,Bard (C.R.) Inc.,226.75,0.5,424858
272,Health Care,Health Care Equipment & Services,BDX,Becton Dickinson,175.66,0.46,529109
273,Health Care,Health Care Equipment & Services,BSX,Boston Scientific,23.51,0.01,7587833
274,Health Care,Health Care Equipment & Services,EW,Edwards Lifesciences,116.74,0.14,742770
275,Health Care,Health Care Equipment & Services,ISRG,Intuitive Surgical Inc.,693.55,7.18,203874
276,Health Care,Health Care Equipment & Services,JNJ,Johnson & Johnson,117.66,-0.59,5457633
277,Health Care,Health Care Equipment & Services,MDT,Medtronic plc,85.99,-0.02,4008456
278,Health Care,Health Care Equipment & Services,PKI,PerkinElmer,53.82,0.5,611812
279,Health Care,Health Care Equipment & Services,STJ,St Jude Medical,79.04,-0.15,2480657
280,Health Care,Health Care Equipment & Services,SYK,Stryker Corp.,114.42,0.1,1133426
281,Health Care,Health Care Equipment & Services,TMO,Thermo Fisher Scientific,150,-0.05,1058938
282,Health Care,Health Care Equipment & Services,VAR,Varian Medical Systems,68.63,0.59,1718353
283,Health Care,Health Care Equipment & Services,ZBH,Zimmer Biomet Holdings,124.97,0.67,889141
284,Health Care,Health Care Facilities,DGX,Quest Diagnostics,83.28,0.03,796082
285,Health Care,Health Care Facilities,DVA,DaVita Inc.,63.6,-0.84,1776819
286,Health Care,Health Care Facilities,HCA,HCA Holdings,75.85,0.56,1441677
287,Health Care,Health Care Facilities,LH,Laboratory Corp. of America Holding,135.01,-0.37,672904
288,Health Care,Health Care Facilities,UHS,"Universal Health Services, Inc.",35.3,0.3,1921459
289,Health Care,Health Care Supplies,PDCO,Patterson Companies,46.05,-0.09,717045
290,Health Care,Health Care Supplies,XRAY,Dentsply Sirona,59.72,0.09,1266763
291,Health Care,Life Sciences Tool & Equipment,MTD,Mettler Toledo,400.26,0.48,291844
292,Health Care,Life Sciences Tools & Services,ILMN,Illumina Inc,173.15,0.18,487953
293,Health Care,Managed Health Care,AET,Aetna Inc,114.83,-0.23,997284
294,Health Care,Managed Health Care,ANTM,Anthem Inc.,126.32,0.8,1570073
295,Health Care,Managed Health Care,CI,CIGNA Corp.,131.89,-0.1,1092281
296,Health Care,Managed Health Care,CNC,Centene Corporation,67.42,0.12,719721
297,Health Care,Managed Health Care,HUM,Humana Inc.,174.58,-0.04,690014
298,Health Care,Managed Health Care,UNH,United Health Group Inc.,107.12,0.26,2168893
299,Health Care,Pharmaceuticals,ABBV,AbbVie,62.91,-0.36,7903516
300,Health Care,Pharmaceuticals,AGN,Allergan plc,245.29,0.1,2625081
301,Health Care,Pharmaceuticals,ENDP,Endo International,20.06,-0.79,3614021
302,Health Care,Pharmaceuticals,LLY,Lilly (Eli) & Co.,79.16,0.36,3321540
303,Health Care,Pharmaceuticals,MNK,Mallinckrodt Plc,75.41,-0.71,786098
304,Health Care,Pharmaceuticals,MRK,Merck & Co.,61.33,-0.95,11287699
305,Health Care,Pharmaceuticals,MYL,Mylan N.V.,41.49,-0.3,3394410
306,Health Care,Pharmaceuticals,PFE,Pfizer Inc.,33.65,-0.29,17542252
307,Health Care,Pharmaceuticals,PRGO,Perrigo,93.28,-0.02,1228381
308,Health Care,Pharmaceuticals,ZTS,Zoetis,50.32,-0.19,2428959
309,Industrials,Aerospace & Defense,BA,Boeing Company,127.48,0.78,3168098
310,Industrials,Aerospace & Defense,FLIR,FLIR Systems,31.33,0.33,758360
311,Industrials,Aerospace & Defense,GD,General Dynamics,152.17,1.42,886944
312,Industrials,Aerospace & Defense,LMT,Lockheed Martin Corp.,240.88,3.43,1456596
313,Industrials,Aerospace & Defense,NOC,Northrop Grumman Corp.,211.16,0.16,729970
314,Industrials,Aerospace & Defense,RTN,Raytheon Co.,137.51,0.75,803475
